Compiled loss functions
compiled score function
605 138.295959473 140.057754517
606 138.337799072 140.361999512
607 138.206802368 140.050994873
608 138.202453613 140.053588867
609 138.511459351 140.466323853
610 138.225723267 139.962783813
611 138.569564819 140.556884766
612 138.559494019 140.673629761
613 138.319122314 139.969329834
614 138.371902466 140.195007324
615 138.195709229 140.055435181
616 138.278823853 139.980926514
617 138.2134552 140.158950806
618 138.263290405 140.201065063
619 138.393814087 140.309432983
620 138.220596313 140.306671143
621 138.48374939 140.586395264
622 138.243850708 139.935287476
623 138.22203064 139.988739014
624 138.302703857 139.999450684
625 138.149932861 140.010757446
626 138.291793823 140.208084106
627 138.2006073 139.959274292
628 138.357696533 140.391906738
629 138.198455811 140.188415527
630 138.24772644 140.079971313
631 138.16418457 140.180541992
632 138.223236084 139.979705811
633 138.234268188 139.908615112
634 138.289489746 139.918960571
635 138.39024353 140.395874023
636 138.109909058 139.885467529
637 138.376922607 140.199951172
638 138.268692017 140.23059082
639 138.397613525 140.126785278
640 138.206207275 140.311218262
641 138.149383545 140.135009766
642 138.257781982 140.062026978
643 138.380630493 140.463470459
644 138.220947266 140.227111816
645 138.328292847 140.165893555
646 138.160797119 139.928878784
647 138.14553833 140.089828491
648 138.224594116 140.2396698
649 138.272323608 140.19128418
650 138.196243286 140.09916687
651 138.195053101 140.234939575
652 138.190536499 140.02381897
653 138.34564209 140.325927734
654 138.110671997 139.789886475
655 138.351959229 140.165527344
656 138.163421631 140.100616455
657 138.322280884 140.282623291
658 138.04486084 140.062301636
659 138.132553101 139.940002441
660 138.095962524 139.821380615
661 138.280014038 140.124099731
662 137.99395752 139.984558105
663 138.0625 140.020111084
664 138.195755005 140.127059937
665 138.01991272 140.04510498
666 138.076339722 139.838409424
667 138.521743774 140.419937134
668 138.113418579 140.147155762
669 138.287994385 140.103210449
670 137.927307129 139.780151367
671 138.149581909 140.142883301
672 137.994613647 139.920669556
673 137.98576355 139.773651123
674 137.963394165 139.952041626
675 138.199493408 140.193969727
676 138.261672974 140.037002563
677 138.079681396 139.780410767
678 138.432891846 140.256851196
679 137.983459473 139.912628174
680 138.34979248 140.014846802
681 137.956665039 139.849975586
682 138.006637573 140.024902344
683 138.178863525 139.961227417
684 138.10508728 139.953613281
685 138.134185791 140.111129761
686 138.11907959 140.134628296
687 138.071853638 140.083496094
688 138.015533447 139.862457275
689 138.198623657 140.256362915
690 138.022216797 139.851028442
691 138.097427368 140.077316284
692 138.106369019 139.989303589
693 137.937667847 139.874450684
694 137.972610474 139.831604004
695 138.340057373 140.035507202
696 138.166320801 140.519973755
697 138.119445801 139.962112427
698 138.181610107 140.066604614
699 138.021591187 140.07598877
700 138.122909546 140.104064941
701 137.878768921 139.876525879
702 138.237243652 140.11378479
703 138.139343262 140.113861084
704 137.868682861 140.041702271
705 138.112380981 140.06187439
706 138.060241699 140.207702637
707 138.047927856 140.128051758
708 138.215591431 140.26008606
709 137.973968506 139.970108032
710 138.077819824 139.942443848
711 137.998687744 139.870162964
712 138.158843994 139.960037231
713 138.062271118 139.812423706
714 138.0834198 140.15663147
715 138.237167358 140.189193726
716 137.969604492 139.912094116
717 137.861953735 139.794174194
718 137.990081787 140.023483276
719 138.0287323 140.307174683
720 137.914886475 139.774032593
721 138.153564453 139.81439209
722 138.070953369 140.182159424
723 137.959106445 139.937896729
724 137.881973267 140.105728149
725 137.922119141 139.941452026
726 138.026870728 139.967056274
727 137.982299805 139.8878479
728 137.851150513 139.754882812
729 137.901580811 139.86807251
730 137.867675781 139.92199707
731 138.265274048 140.299301147
732 138.172302246 140.341217041
733 137.865432739 139.855575562
734 137.839523315 140.106002808
735 137.934738159 139.99810791
736 137.991149902 139.928009033
737 137.908813477 139.786727905
738 138.080886841 140.021270752
739 137.86289978 139.661865234
740 137.90272522 140.078094482
741 138.144515991 140.153747559
742 137.792053223 139.814666748
743 137.830612183 139.970413208
744 137.915359497 139.75390625
745 137.791763306 139.994369507
746 137.828231812 139.815963745
747 137.860153198 139.919708252
748 137.750137329 139.653823853
749 137.876831055 139.95085144
750 137.773742676 139.714767456
751 138.088470459 139.900268555
752 138.078979492 140.088653564
753 137.898391724 139.980712891
754 137.901870728 139.975494385
755 137.802947998 139.604171753
756 137.768936157 139.778244019
757 137.952133179 139.827453613
758 137.956298828 140.179077148
759 138.035751343 140.283340454
760 138.023788452 140.09387207
761 137.950515747 139.804550171
762 138.15246582 140.604415894
763 137.715515137 139.736358643
764 137.907653809 139.937973022
765 138.099594116 140.336868286
766 137.803543091 139.919952393
767 137.983901978 139.998245239
768 137.952102661 140.024902344
769 137.7605896 139.824783325
