Compiled loss functions
compiled score function
843 139.317855835 149.662628174
844 139.422286987 149.90953064
845 138.95765686 149.238265991
846 139.204742432 149.681427002
847 139.135574341 149.87121582
848 139.693344116 149.857620239
849 139.135299683 149.830383301
850 139.169250488 149.628723145
851 139.066619873 149.510482788
852 139.357635498 150.008102417
853 139.173202515 149.650299072
854 139.15234375 149.459960938
855 139.356292725 149.731231689
856 138.8644104 149.638397217
857 139.137252808 149.561599731
858 138.90965271 149.508071899
859 139.117004395 149.502349854
860 138.784820557 149.72795105
861 139.478240967 149.774627686
862 139.656723022 150.112991333
863 139.351013184 149.776565552
864 139.002944946 149.676452637
865 138.947036743 149.573745728
866 139.240264893 150.190628052
867 138.873779297 149.314254761
868 138.947860718 149.631713867
869 139.766403198 150.387741089
870 139.60723877 149.956756592
871 138.961608887 149.529754639
872 139.18913269 149.594589233
873 138.89906311 149.606903076
874 138.910797119 149.637619019
875 139.243484497 149.840774536
876 138.845352173 149.551193237
877 138.951461792 149.321670532
878 139.359481812 149.69732666
879 138.962905884 149.734436035
880 138.802261353 149.420227051
881 139.700164795 150.031524658
882 139.225921631 149.595901489
883 140.413452148 150.580352783
884 139.150314331 149.717041016
885 139.127304077 149.838226318
886 138.990341187 149.475326538
887 139.313690186 149.582702637
888 138.888885498 149.435058594
889 138.894805908 149.527862549
890 139.05809021 149.56413269
891 139.221389771 150.071884155
892 139.055511475 149.907409668
893 139.185241699 149.694061279
894 139.015579224 149.600265503
895 139.380172729 150.10369873
896 139.258773804 149.719390869
897 139.651199341 150.380371094
898 138.911376953 149.639938354
899 138.650909424 149.530105591
900 138.940231323 149.589477539
901 138.880523682 149.675827026
902 138.777374268 149.72996521
903 138.981582642 149.699554443
904 138.947402954 149.439727783
905 138.83531189 149.673553467
906 139.055053711 149.823608398
907 138.768600464 149.579177856
908 138.716720581 149.457824707
909 138.863342285 149.810470581
910 138.928192139 149.914627075
911 140.642333984 150.809326172
912 139.421356201 150.201675415
913 138.749359131 149.593063354
914 138.855102539 149.858901978
915 138.95916748 149.924453735
916 139.12600708 150.027603149
917 138.882019043 149.797714233
918 138.734130859 149.503372192
919 139.017974854 149.564743042
920 138.866394043 149.839935303
921 138.879623413 149.857177734
922 139.373580933 149.71144104
923 138.658508301 149.573226929
924 139.03565979 149.825592041
925 139.278121948 150.207168579
926 138.88079834 149.655761719
927 138.87210083 149.576339722
928 138.848800659 149.413223267
929 138.898849487 149.699584961
930 138.809829712 149.706878662
931 138.836975098 149.565612793
932 139.083053589 149.882278442
933 138.792449951 149.855194092
934 138.759078979 149.511001587
935 138.863128662 149.592758179
936 138.943252563 149.739334106
937 138.819152832 149.604171753
938 138.987106323 149.746749878
939 138.749832153 149.838821411
940 138.952392578 149.464141846
941 139.458175659 150.12348938
942 138.990203857 149.900497437
943 138.797012329 149.662246704
944 139.167434692 149.925933838
945 138.74156189 149.660217285
946 138.818191528 149.756195068
947 138.991119385 149.848724365
948 138.602478027 149.623748779
949 138.774612427 150.137878418
950 139.061386108 150.136764526
951 139.017837524 149.99420166
952 139.209701538 150.146133423
953 138.69367981 149.422546387
954 138.895950317 149.616638184
955 138.897750854 149.624679565
956 138.699630737 149.430999756
957 138.867889404 149.541351318
958 139.102035522 149.985321045
959 138.708389282 149.544967651
960 138.722915649 149.78717041
961 138.716918945 149.764831543
962 139.184051514 149.855453491
963 138.565109253 149.444625854
964 138.803329468 149.560699463
965 138.811218262 149.685028076
966 138.768310547 149.852752686
967 138.810440063 149.825073242
968 139.0677948 150.028015137
969 138.89414978 149.991958618
970 139.043518066 149.670730591
971 138.914550781 149.853439331
972 138.518539429 149.464447021
973 139.249221802 149.670654297
974 138.809890747 150.177719116
975 138.842895508 149.869033813
976 139.481002808 150.510879517
977 139.038391113 149.816223145
978 138.664382935 149.640701294
979 138.957839966 149.802368164
980 138.602645874 149.837539673
981 138.487487793 149.508255005
982 138.99432373 149.658096313
983 138.894760132 150.147491455
984 138.847991943 149.938583374
985 138.828109741 149.844741821
986 138.8881073 149.736373901
987 138.697570801 149.957839966
988 138.647094727 149.689926147
989 138.860992432 149.925338745
990 138.844360352 149.970153809
991 138.937469482 149.794906616
992 138.794143677 149.679107666
993 138.861053467 149.677124023
994 138.758575439 149.72366333
