(50000L, 784L)
compiled score function
Old best loss:
garray(130.34397888183594)
Old best val NLL:
127.253283696
Compiled loss functions
[324359, 354630, 354670, 354679, 354682, 354766, 354782, 354798, 354814, 354839, 354915, 354935, 354966, 355046, 355114, 355122, 355135, 355166, 355198, 355230, 355231, 355235, 355246, 355263, 355286, 355338, 355346, 355390, 752394]

0 garray(128.03807067871094) 131.722290039 127.351317823 [ 0.00707636]
422 garray(nan) nan nan [ nan]
423 garray(nan) nan nan [ nan]
424 garray(nan) nan nan [ nan]
425 garray(nan) nan nan [ nan]
426 garray(nan) nan nan [ nan]
427 garray(nan) nan nan [ nan]
428 garray(nan) nan nan [ nan]
429 garray(nan) nan nan [ nan]
430 garray(nan) nan nan [ nan]
431 garray(nan) nan nan [ nan]
432 garray(nan) nan nan [ nan]
433 garray(nan) nan nan [ nan]
434 garray(nan) nan nan [ nan]
435 garray(nan) nan nan [ nan]
436 garray(nan) nan nan [ nan]
437 garray(nan) nan nan [ nan]
438 garray(nan) nan nan [ nan]
439 garray(nan) nan nan [ nan]
440 garray(nan) nan nan [ nan]
441 garray(nan) nan nan [ nan]
442 garray(nan) nan nan [ nan]
443 garray(nan) nan nan [ nan]
444 garray(nan) nan nan [ nan]
445 garray(nan) nan nan [ nan]
446 garray(nan) nan nan [ nan]
447 garray(nan) nan nan [ nan]
448 garray(nan) nan nan [ nan]
449 garray(nan) nan nan [ nan]
450 garray(nan) nan nan [ nan]
451 garray(nan) nan nan [ nan]
452 garray(nan) nan nan [ nan]
453 garray(nan) nan nan [ nan]
454 garray(nan) nan nan [ nan]
455 garray(nan) nan nan [ nan]
456 garray(nan) nan nan [ nan]
457 garray(nan) nan nan [ nan]
458 garray(nan) nan nan [ nan]
459 garray(nan) nan nan [ nan]
460 garray(nan) nan nan [ nan]
461 garray(nan) nan nan [ nan]
462 garray(nan) nan nan [ nan]
463 garray(nan) nan nan [ nan]
464 garray(nan) nan nan [ nan]
465 garray(nan) nan nan [ nan]
466 garray(nan) nan nan [ nan]
467 garray(nan) nan nan [ nan]
468 garray(nan) nan nan [ nan]
469 garray(nan) nan nan [ nan]
470 garray(nan) nan nan [ nan]
471 garray(nan) nan nan [ nan]
472 garray(nan) nan nan [ nan]
473 garray(nan) nan nan [ nan]
474 garray(nan) nan nan [ nan]
475 garray(nan) nan nan [ nan]
476 garray(nan) nan nan [ nan]
477 garray(nan) nan nan [ nan]
478 garray(nan) nan nan [ nan]
479 garray(nan) nan nan [ nan]
480 garray(nan) nan nan [ nan]
481 garray(nan) nan nan [ nan]
482 garray(nan) nan nan [ nan]
483 garray(nan) nan nan [ nan]
484 garray(nan) nan nan [ nan]
485 garray(nan) nan nan [ nan]
486 garray(nan) nan nan [ nan]
487 garray(nan) nan nan [ nan]
488 garray(nan) nan nan [ nan]
489 garray(nan) nan nan [ nan]
490 garray(nan) nan nan [ nan]
491 garray(nan) nan nan [ nan]
492 garray(nan) nan nan [ nan]
493 garray(nan) nan nan [ nan]
494 garray(nan) nan nan [ nan]
495 garray(nan) nan nan [ nan]
496 garray(nan) nan nan [ nan]
497 garray(nan) nan nan [ nan]
498 garray(nan) nan nan [ nan]
499 garray(nan) nan nan [ nan]
500 garray(nan) nan nan [ nan]
501 garray(nan) nan nan [ nan]
502 garray(nan) nan nan [ nan]
503 garray(nan) nan nan [ nan]
504 garray(nan) nan nan [ nan]
505 garray(nan) nan nan [ nan]
506 garray(nan) nan nan [ nan]
507 garray(nan) nan nan [ nan]
508 garray(nan) nan nan [ nan]
509 garray(nan) nan nan [ nan]
510 garray(nan) nan nan [ nan]
511 garray(nan) nan nan [ nan]
512 garray(nan) nan nan [ nan]
513 garray(nan) nan nan [ nan]
514 garray(nan) nan nan [ nan]
515 garray(nan) nan nan [ nan]
516 garray(nan) nan nan [ nan]
517 garray(nan) nan nan [ nan]
518 garray(nan) nan nan [ nan]
519 garray(nan) nan nan [ nan]
520 garray(nan) nan nan [ nan]
521 garray(nan) nan nan [ nan]
522 garray(nan) nan nan [ nan]
523 garray(nan) nan nan [ nan]
524 garray(nan) nan nan [ nan]
525 garray(nan) nan nan [ nan]
526 garray(nan) nan nan [ nan]
527 garray(nan) nan nan [ nan]
528 garray(nan) nan nan [ nan]
529 garray(nan) nan nan [ nan]
530 garray(nan) nan nan [ nan]
531 garray(nan) nan nan [ nan]
532 garray(nan) nan nan [ nan]
533 garray(nan) nan nan [ nan]
534 garray(nan) nan nan [ nan]
535 garray(nan) nan nan [ nan]
536 garray(nan) nan nan [ nan]
537 garray(nan) nan nan [ nan]
538 garray(nan) nan nan [ nan]
539 garray(nan) nan nan [ nan]
540 garray(nan) nan nan [ nan]
541 garray(nan) nan nan [ nan]
542 garray(nan) nan nan [ nan]
543 garray(nan) nan nan [ nan]
544 garray(nan) nan nan [ nan]
545 garray(nan) nan nan [ nan]
546 garray(nan) nan nan [ nan]
547 garray(nan) nan nan [ nan]
548 garray(nan) nan nan [ nan]
549 garray(nan) nan nan [ nan]
550 garray(nan) nan nan [ nan]
551 garray(nan) nan nan [ nan]
552 garray(nan) nan nan [ nan]
553 garray(nan) nan nan [ nan]
554 garray(nan) nan nan [ nan]
555 garray(nan) nan nan [ nan]
556 garray(nan) nan nan [ nan]
557 garray(nan) nan nan [ nan]
558 garray(nan) nan nan [ nan]
559 garray(nan) nan nan [ nan]
560 garray(nan) nan nan [ nan]
561 garray(nan) nan nan [ nan]
562 garray(nan) nan nan [ nan]
563 garray(nan) nan nan [ nan]
564 garray(nan) nan nan [ nan]
565 garray(nan) nan nan [ nan]
566 garray(nan) nan nan [ nan]
567 garray(nan) nan nan [ nan]
568 garray(nan) nan nan [ nan]
569 garray(nan) nan nan [ nan]
570 garray(nan) nan nan [ nan]
571 garray(nan) nan nan [ nan]
572 garray(nan) nan nan [ nan]
573 garray(nan) nan nan [ nan]
574 garray(nan) nan nan [ nan]
575 garray(nan) nan nan [ nan]
576 garray(nan) nan nan [ nan]
577 garray(nan) nan nan [ nan]
578 garray(nan) nan nan [ nan]
579 garray(nan) nan nan [ nan]
580 garray(nan) nan nan [ nan]
581 garray(nan) nan nan [ nan]
582 garray(nan) nan nan [ nan]
583 garray(nan) nan nan [ nan]
584 garray(nan) nan nan [ nan]
585 garray(nan) nan nan [ nan]
586 garray(nan) nan nan [ nan]
587 garray(nan) nan nan [ nan]
588 garray(nan) nan nan [ nan]
589 garray(nan) nan nan [ nan]
590 garray(nan) nan nan [ nan]
591 garray(nan) nan nan [ nan]
592 garray(nan) nan nan [ nan]
593 garray(nan) nan nan [ nan]
594 garray(nan) nan nan [ nan]
595 garray(nan) nan nan [ nan]
596 garray(nan) nan nan [ nan]
597 garray(nan) nan nan [ nan]
598 garray(nan) nan nan [ nan]
599 garray(nan) nan nan [ nan]
600 garray(nan) nan nan [ nan]
601 garray(nan) nan nan [ nan]
602 garray(nan) nan nan [ nan]
603 garray(nan) nan nan [ nan]
604 garray(nan) nan nan [ nan]
605 garray(nan) nan nan [ nan]
606 garray(nan) nan nan [ nan]
607 garray(nan) nan nan [ nan]
608 garray(nan) nan nan [ nan]
609 garray(nan) nan nan [ nan]
610 garray(nan) nan nan [ nan]
611 garray(nan) nan nan [ nan]
612 garray(nan) nan nan [ nan]
613 garray(nan) nan nan [ nan]
614 garray(nan) nan nan [ nan]
615 garray(nan) nan nan [ nan]
616 garray(nan) nan nan [ nan]
617 garray(nan) nan nan [ nan]
618 garray(nan) nan nan [ nan]
619 garray(nan) nan nan [ nan]
620 garray(nan) nan nan [ nan]
621 garray(nan) nan nan [ nan]
622 garray(nan) nan nan [ nan]
623 garray(nan) nan nan [ nan]
624 garray(nan) nan nan [ nan]
625 garray(nan) nan nan [ nan]
626 garray(nan) nan nan [ nan]
627 garray(nan) nan nan [ nan]
628 garray(nan) nan nan [ nan]
629 garray(nan) nan nan [ nan]
630 garray(nan) nan nan [ nan]
631 garray(nan) nan nan [ nan]
632 garray(nan) nan nan [ nan]
633 garray(nan) nan nan [ nan]
634 garray(nan) nan nan [ nan]
635 garray(nan) nan nan [ nan]
636 garray(nan) nan nan [ nan]
637 garray(nan) nan nan [ nan]
638 garray(nan) nan nan [ nan]
639 garray(nan) nan nan [ nan]
640 garray(nan) nan nan [ nan]
641 garray(nan) nan nan [ nan]
642 garray(nan) nan nan [ nan]
643 garray(nan) nan nan [ nan]
644 garray(nan) nan nan [ nan]
645 garray(nan) nan nan [ nan]
646 garray(nan) nan nan [ nan]
647 garray(nan) nan nan [ nan]
648 garray(nan) nan nan [ nan]
649 garray(nan) nan nan [ nan]
650 garray(nan) nan nan [ nan]
651 garray(nan) nan nan [ nan]
652 garray(nan) nan nan [ nan]
653 garray(nan) nan nan [ nan]
654 garray(nan) nan nan [ nan]
655 garray(nan) nan nan [ nan]
656 garray(nan) nan nan [ nan]
657 garray(nan) nan nan [ nan]
658 garray(nan) nan nan [ nan]
659 garray(nan) nan nan [ nan]
660 garray(nan) nan nan [ nan]
661 garray(nan) nan nan [ nan]
662 garray(nan) nan nan [ nan]
663 garray(nan) nan nan [ nan]
664 garray(nan) nan nan [ nan]
665 garray(nan) nan nan [ nan]
666 garray(nan) nan nan [ nan]
667 garray(nan) nan nan [ nan]
668 garray(nan) nan nan [ nan]
669 garray(nan) nan nan [ nan]
670 garray(nan) nan nan [ nan]
671 garray(nan) nan nan [ nan]
672 garray(nan) nan nan [ nan]
673 garray(nan) nan nan [ nan]
674 garray(nan) nan nan [ nan]
675 garray(nan) nan nan [ nan]
676 garray(nan) nan nan [ nan]
677 garray(nan) nan nan [ nan]
678 garray(nan) nan nan [ nan]
679 garray(nan) nan nan [ nan]
680 garray(nan) nan nan [ nan]
681 garray(nan) nan nan [ nan]
682 garray(nan) nan nan [ nan]
683 garray(nan) nan nan [ nan]
684 garray(nan) nan nan [ nan]
685 garray(nan) nan nan [ nan]
686 garray(nan) nan nan [ nan]
687 garray(nan) nan nan [ nan]
688 garray(nan) nan nan [ nan]
689 garray(nan) nan nan [ nan]
690 garray(nan) nan nan [ nan]
691 garray(nan) nan nan [ nan]
692 garray(nan) nan nan [ nan]
693 garray(nan) nan nan [ nan]
694 garray(nan) nan nan [ nan]
695 garray(nan) nan nan [ nan]
696 garray(nan) nan nan [ nan]
697 garray(nan) nan nan [ nan]
698 garray(nan) nan nan [ nan]
699 garray(nan) nan nan [ nan]
700 garray(nan) nan nan [ nan]
701 garray(nan) nan nan [ nan]
702 garray(nan) nan nan [ nan]
703 garray(nan) nan nan [ nan]
704 garray(nan) nan nan [ nan]
705 garray(nan) nan nan [ nan]
706 garray(nan) nan nan [ nan]
707 garray(nan) nan nan [ nan]
708 garray(nan) nan nan [ nan]
709 garray(nan) nan nan [ nan]
710 garray(nan) nan nan [ nan]
711 garray(nan) nan nan [ nan]
712 garray(nan) nan nan [ nan]
713 garray(nan) nan nan [ nan]
714 garray(nan) nan nan [ nan]
715 garray(nan) nan nan [ nan]
716 garray(nan) nan nan [ nan]
717 garray(nan) nan nan [ nan]
718 garray(nan) nan nan [ nan]
719 garray(nan) nan nan [ nan]
720 garray(nan) nan nan [ nan]
721 garray(nan) nan nan [ nan]
722 garray(nan) nan nan [ nan]
723 garray(nan) nan nan [ nan]
724 garray(nan) nan nan [ nan]
725 garray(nan) nan nan [ nan]
